TransactionID,CustomerID,TransactionAmount,TransactionDateTime,MerchantID,MerchantCategory,TransactionType,CardType,EntryMode,TransactionLocation,IP_Address,DeviceType,CardPresent,PreviousFraudTransactions,AccountAge,DailyTransactionCount,DailyTransactionAmount,IsInternational,TimeSinceLastTransaction,FraudFlag
5b1ee9a5-79d5-41a9-b796-2c822bc00488,8270,2833.262435401367,2023-07-28 03:01:31,79306,Retail,Withdrawal,Credit,Magstripe,Pamelaside,171.231.226.75,Tablet,0,4,596,5,6430.153620772066,1,66918,1
6d2fc408-ff54-49b9-81cb-b664fca46381,1860,3404.762324988315,2022-02-11 04:05:14,29726,Retail,Purchase,Credit,Contactless,Camposview,22.174.135.157,POS,0,6,1014,5,5126.453239302535,1,71136,1
e808407a-3e67-4afa-b297-663a9550dc5a,6390,3376.091549255503,2025-01-25 18:21:12,19088,Electronics,Purchase,Debit,Online,Port Jenniferland,62.31.49.72,Mobile,1,3,540,8,2552.090223021254,1,75035,0
d39c04b1-4fca-4a67-a380-16343249e6cd,6191,1199.1365884547731,2024-04-10 00:14:11,44314,Entertainment,Withdrawal,Prepaid,Magstripe,Matthewfurt,98.6.224.64,Tablet,1,5,3351,2,4554.912188324358,1,46892,0
2dc4c909-f981-4868-89a1-7cf52d9da05a,6734,2315.4292652081035,2021-12-04 18:56:06,65041,Entertainment,Transfer,Debit,Magstripe,Thomasstad,119.84.35.150,Mobile,0,7,12,9,2936.5995423103896,1,41442,1
07294d3e-ca64-4267-8afd-6674fe537dc9,7265,3801.227697085682,2024-10-28 23:42:23,26350,Entertainment,Purchase,Credit,Contactless,West Rebeccaside,7.86.100.244,Desktop,0,2,1944,8,9340.893577086352,0,81127,0
e80c5fdc-9e03-493b-b828-16533470ac1a,1466,1566.4271344169592,2024-09-14 21:11:11,91397,Entertainment,Transfer,Debit,Chip,West Ellenland,152.66.6.45,Tablet,0,0,3379,4,9074.038458296744,1,70699,0
ae0cd247-9731-4556-a937-2ff502e9504c,5426,2056.359751886363,2020-07-08 00:56:43,89509,Retail,Transfer,Prepaid,Online,Lake David,198.97.124.139,Mobile,0,4,364,6,1566.7055692027598,0,74646,0
40004e41-8d69-47e1-ba3b-25d9670252b5,6578,1052.4029357638533,2020-04-12 04:56:28,27769,Food,Transfer,Credit,Magstripe,East Joshua,49.14.163.179,Mobile,0,2,662,1,8227.976009730257,0,55373,0
41e67a91-4424-46bb-b877-84da8899079b,9322,4882.922311497907,2023-01-20 15:33:52,57249,Travel,Transfer,Debit,Chip,South Joshua,126.143.110.85,Tablet,1,5,1342,3,7032.117820589845,1,51517,0
48a8b975-2add-4867-936a-1d3cecb1eaeb,2685,3229.784872406766,2022-02-04 22:08:00,92862,Food,Transfer,Prepaid,Contactless,Christyberg,109.76.56.220,Mobile,0,2,538,7,9752.36508840044,1,10382,0
238b0c38-3222-482e-8f6b-f91d5f98b4d9,1769,4673.046684174,2025-02-16 08:23:15,56365,Food,Transfer,Credit,Contactless,Heidiborough,32.10.197.86,Tablet,0,0,3286,7,4638.432620315784,0,40863,0
02c7a087-ff6f-47e9-8eb7-e29681d47ffb,7949,1520.4107904275202,2022-03-14 05:12:07,60185,Retail,Withdrawal,Prepaid,Contactless,Lake Natalie,110.181.197.225,Tablet,1,8,314,8,7224.521970429688,1,53763,0
53c34c38-4060-43ba-8dec-842c1fe47894,3433,3910.545110419464,2021-07-24 16:20:23,12786,Travel,Withdrawal,Prepaid,Contactless,Sandraland,193.228.38.143,POS,0,4,1479,2,5183.66036208248,1,59391,0
a6333192-314e-4215-8cc2-6d7dcf279ae6,6311,3830.4639262042865,2025-01-29 01:33:32,11620,Entertainment,Transfer,Credit,Online,Port Carl,183.132.13.46,POS,0,1,1423,7,703.3109619566335,1,55165,0
8aafe70b-2e57-4340-9849-511e7123fa7c,6051,3459.819981073375,2025-01-01 15:19:01,46303,Retail,Withdrawal,Debit,Magstripe,Cassieburgh,207.131.8.183,Mobile,1,1,1776,4,477.1798498703093,0,5918,0
734db841-233c-421b-8e7c-2633706b143f,7420,4828.366681457668,2025-01-07 03:18:36,29589,Retail,Withdrawal,Debit,Online,Curtishaven,177.55.135.167,Mobile,0,8,1246,6,1229.8933143690604,1,46906,0
